uniq_id,name,name_s,season,Premiere,Episode,episode_duration,channel,permission,writer,actor1,actor2,actor3,genre1,genre2,genre3,genre4,genre5,aka1,aka2,aka3,country,language,IMDb,score,review,5star,4star,3star,2star,1star
https://www.douban.com/doubanapp/dispatch?uri=/tv/35120735,跨界歌王 第五季,跨界歌王,,2020-06-27,12,89分钟,咪咕视频,免费观看, 宋静,秦海璐,李小萌,王凯, 音乐,真人秀,,,,,,,中国大陆,汉语普通话,,5.4,3194,11.2%,11.2%,40.2%,20.6%,19.6%
https://www.douban.com/doubanapp/dispatch?uri=/tv/30211792,少年包拯,少年包拯,,2020-01-09,12,35分钟,优酷视频,VIP免费观看, 袖唐,夏志远,刘馨棋,傅子铭, 剧情,悬疑,古装,,, 少年包拯传奇,The Legend Of Young Justice Bao,,中国大陆,汉语普通话,tt11541456,5.5,2432,4.5%,4.5%,34.3%,20.9%,17.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34779758,公子，我娶定你了,公子，我娶定你了,,2020-03-22,12,25分钟,,, 陈旭,向涵之,邱士纶,柏程俊, 爱情,悬疑,古装,,,,,,中国大陆,汉语普通话,tt12215998,5.5,2803,0.0%,0.0%,37.5%,30.4%,8.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34926526,倾世锦鳞谷雨来,倾世锦鳞谷雨来,,2020-11-28,24,28分钟,爱奇艺视频,VIP免费观看, 柏宁,何花,王润泽,冯荔军, 古装,,,,,,,,中国大陆,汉语普通话,tt13298236,5.8,2694,3.2%,3.2%,38.7%,25.8%,8.1%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35173711,乐队我做东 第2季,乐队我做东,2,2020-08-08,12,,爱奇艺视频,VIP免费观看,,马东,臧鸿飞,赵梦, 真人秀,,,,,,,,中国大陆,汉语普通话,,6.4,2016,6.9%,6.9%,51.4%,13.8%,2.6%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35193103,小店看中国,小店看中国,,2020-08-24,8,7分钟,芒果TV,免费观看, 张竣杰,,,, 纪录片,,,,,,,,中国大陆,汉语普通话,,6.7,322,11.8%,11.8%,42.4%,15.3%,1.2%
https://www.douban.com/doubanapp/dispatch?uri=/tv/30466817,沉默不语的顾小姐,沉默不语的顾小姐,,2020-09-23,20,45分钟,腾讯视频,VIP免费观看, 孙浩,阿丽亚,李子峰,蔡卓音, 爱情,悬疑,,,, 引罪者,完美的我,,中国大陆,汉语普通话,tt13131674,6.7,4201,12.5%,12.5%,43.8%,13.8%,2.5%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35172956,虎牙狼人杀 第五季,虎牙狼人杀,5,2020-08-06,12,90分钟,,,,戴士,刘小怂,蒲熠星, 真人秀,,,,, Godlie V,,,中国大陆,汉语普通话,,6.8,1340,17.5%,17.5%,36.5%,9.5%,7.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34799829,我成了他的班主任,我成了他的班主任,,2020-04-02,15,40分钟,,, 王燕秋,陈怡馨,卢东旭,孙嘉琪, 剧情,爱情,,,,,,,中国大陆,汉语普通话,tt12193208,7.1,2430,5.3%,5.3%,34.4%,4.2%,2.6%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35117527,人类博物馆,人类博物馆,,2020-08-25,36,1分钟,哔哩哔哩,免费观看, 刘旻,kinsen,,, 喜剧,动画,,,,,,,中国大陆,汉语普通话,,7.2,585,16.0%,16.0%,34.0%,12.3%,0.0%
