actor,weibo_name,follower
华少,Host华少,516.4万
陈鑫海,陈鑫海Ocean,185.9万
赵小东,演员赵小东,2.1万
巩大方,巩大方,36
黄洪铮,演员黄洪铮,1.3万
马剑越,马剑越,320.4万 
王星越,王星越,190.7万
阿旦,米娅_阿旦,405.8万
鞠婧祎,鞠婧祎,2713.6万
鄂布斯,No weibo account,
朱嘉琦,朱嘉琦z,334.3万
刘昊然,刘昊然turbo,3201.5万
海清,海清,1412.8万
曹志雄,HG曹志雄,7263
刘凯,演员刘凯,203.8万
段艺璇,SNH48-段艺璇-,644.3万
俞敏洪,俞敏洪,1509.3万
侯佩岑,侯佩岑,821.5万
陈政阳,陈政阳,219.6万
江奇霖,江奇霖70,305.4万
陈小纭,陈小纭,669.5万
陈则霖,陈则霖001,304
Wake,Wake,27.7万
张雨剑,张雨剑,655万
冯绍峰,冯绍峰,2532.6万
方晓东,方晓东,41.3万
景向谁依,景向谁依-,277.5万
周深,卡布叻_周深,866.7万
林彦俊,林彦俊,1042.7万
季美含,季美含,107.3万
屠芷莹,屠芷莹ing,110.7万
雷佳,雷佳,22万
刘冬沁,刘冬沁ZayinEric,546.2万
朱芷仪,No weibo account,
陈俊宇,陈俊宇Simon,126.5万
李感,-李感-,187.8万
林思意,林思意Sissi,356.1万
米露,米露,338.7万
秦海璐,秦海璐,1272.6万
伊一,伊一,337.9万
沈燮元,No weibo account,
叶琪山,叶琪山,2.8万
释小龙,释小龙Ashton,517万
廖昌永,廖昌永,27.9万
李嘉铭,演员李嘉铭,590.7万
龚锐,龚锐Nate,112.3万
谭绮文,谭绮文_,796
林俊龙,No weibo account,
蒲熠星,蒲熠星POE工作室,22.4万
宋伊人,宋伊人,679.9万
苗侨伟,WeareMiu苗僑偉戚美珍,91.9万
辛芷蕾,辛芷蕾,1210.9万
李岷城,Mr__小李子,104.5万
黄怡晴,No weibo account,
文松,文松V,53.4万
刘小光,刘小光,109.3万
阎么么,阎么么,25.1万
王小利,王小利,439万
Lalisa Manobal,lalalalisa_m,897.8万
徐梓童,徐梓童_,20.3万
蒙恩,蒙恩am,217万
王阳,王阳0313,376.7万
邱泽,邱澤日記,577万
蔡皋,蔡皋,3.8万
文生,文生,273.9万
吴刚,吴刚de微博,260.3万
迟宁宁,迟宁宁_,61.7万
邵汶,邵汶,22万
刘欢,刘欢Happy哥,501.3万
郑英辰,郑英辰C,63.8万
邓诗韵,邓诗韵,30.8万
王大头,王大头,359.3万
张云龙,张云龙mmc,1503.9万
奚美娟,No weibo account,
胡军,胡军,366万
鲁诺,鲁诺lenox,158.4万
李宏毅,L李宏毅,1382.2万
杨廷东,杨廷东,154.4万
赵英俊,赵英俊是潇洒哥,187.2万
茅子俊,茅子俊,1267.4万
王瀚哲,王瀚哲工作室,10.3万
王帅 Shuai Wang,王帥_Designer,18.1万
刘特,刘特,320.3万
李哲豪,李哲豪-,60.5万
孙莉,多妈7788,804.2万
万国鹏,万国鹏演员,218万
