actor,weibo_name,follower
陈炜,陳煒,173.8万
赵小棠,赵小棠啊,452.2万
赵天宇,赵天宇Koss,588.4万
田小洁,田小洁,10.4万
金泽,金泽Garvey,572万
周依然,周依然6,310.1万
陈超,陈超Cynthia,59.5万
陈沐,陈沐Moosn,18.2万
孙悦,孙悦,213.6万
韩宇,韩宇531,319.2万
利晴天,利晴天,380万
埃德·斯塔福德,埃德-斯塔福德,99
马嘉祺,时代少年团队长-马嘉祺,2154.4万
李嘉琦,小辣李嘉琦,1010.7万
白鹿,白鹿my,2141.8万
叶一茜,叶一茜,1233.8万
李小萌,李小萌ANNABEL,233万
普普,一个普普通通的美国黑人,73.3万
韩延,No weibo account,
陈数,陈数,1139.5万
周川珺,-周川珺,111.8万
张栋梁,张栋梁Nicholas,145.6万
涂与豪,涂与豪,259
许魏洲,许魏洲ZZ,1526.8万
何小疯,何小疯,14.1万
周侗,No weibo account,
何冰,人艺何冰,25.8万
吴奇隆,吴奇隆,4242.8万
李洪涛,演员李洪涛,5.4万
戴景耀,戴戴戴景耀,496.2万
朴树,如是我闻_一时_,121.9万
徐佳莹,徐佳瑩,504.3万
黄奕,黄奕,577.3万
彭冠英,彭冠英,676.5万
张振,上海九院张振医生,34.7万
邵英黎,No weibo account,
周亦武,法医周亦武,80.5万
刘子瑞,刘子瑞RAY,233.7万
白百何,白百何,2479.4万
傅晨阳,你好傅晨阳先生,24
韩庚,韩庚,5303.5万
少年,No weibo account,
邓家佳,邓家佳,1307.4万
周彦辰,周彦辰,662.6万
金世康,金世康JSK,5.3万
刘芸,刘芸,1001.2万
蒋勤勤,蒋勤勤,338.7万
张伟丽,张伟丽MMA,196.3万
孟祥龙,孟祥龙配音是个啥,6.2万
卜凡,卜凡KATTO,1016.1万
蔡娜,No weibo account,
梅婷,梅婷,204万
代超,代超,400.7万
陈怡凡,创造101-陈怡凡,7.7万
周峻纬,JZ周峻纬,321.7万
刘胤君,刘胤君magic,204.1万
薛兆丰,薛兆丰,392.8万
马梦唯,马梦唯,275万
王新军,演员王新军,12万
锦超,那我就先叫锦超吧,20.9万
黄宥天,黄宥天Hyde,20.3万
吕良伟,吕良伟Ray,319.5万
曹云图,No weibo account,
李一桐,李一桐Q,1658.6万
黄觉,黄觉,559.2万
章子怡,章子怡,2882.8万
李梦颖,李梦颖aggiem,202.8万
杨默,No weibo account,
王子璇,王子璇,406.3万
周雨彤,周雨彤微博,1431.9万
于永至,于永至Lucien,1095
张翰,张翰,3893.3万
王子奇,王子奇是演员王子奇,658.5万
邱士纶,邱士纶,101.1万
洛天依,Vsinger_洛天依,546.2万
王源,TFBOYS-王源,8476.2万
周轶君,周轶君,59.5万
叶祖新,叶祖新,1155.8万
马思唯,马思唯马思唯,224.6万
关晓彤,关晓彤,3485.6万
蒋芸,蒋芸327,87.8万
蔡明,蔡明,253.1万
刘钧,刘钧,229.6万
吴希泽,吴希泽-Caesar,638.2万
郭京飞,郭京飞,1140.3万
任重,任重,903.3万
杨仕泽,杨仕泽,295.6万
管乐,管乐guanle,104.6万
许嵩,许嵩,1579.3万
冯远征,冯远征,90.5万
李荣浩,李荣浩,2350.8万
崔力戈,崔力戈,1万
余颢凌,余颢凌,5.1万
赵顺然,赵顺然,204.2万
左航,TF家族-左航,500.1万
黄子杰,黃子傑_,691
查杰,-查杰-,504.4万
杨紫,杨紫,6120.2万
何超莲,何超蓮Laurinda,425.7万
王萌黎,王萌黎,649.4万
赵夕汐,赵夕汐_,7.5万
郝蕾,Echo自由自在,87.1万
李兰陵,李兰陵,186.6万
徐开骋,徐开骋,716.2万
赵薇 Wei Zhao,赵薇,8434万
曹旭鹏,曹旭鹏cxp,273
李岱昆,李岱昆,500.3万
郜思雯,郜思雯,84.4万
邓超元,邓超元Aaron,543.5万
赵帅,跆拳道赵帅,100.9万
陈怡馨,嘟嘟陈怡馨,50.6万
宋轶,宋轶songyi,1090.6万
郭柯宇,郭柯宇,40.8万
李奕臻,李奕臻的微博,361.2万
罗永浩,交个朋友直播间,1748.3万
宋佳,宋佳,1297.2万
金世佳,金世佳,464.3万
杨新鸣,演员杨新鸣,7.4万
张逸杰,张逸杰,615.5万
欧阳娜娜,歐陽娜娜Nana,2065.9万
BOYHOOD,No weibo account,
李博,李博isv,5.1万
鹿尤尤,No weibo account,
叶秋儿,No weibo account,
陈更,陈更,17.9万
王景春,演员王景春,64.9万
汤敏,汤敏啊,350.4万
陈希郡,希郡Chen,289.1万
蔡国强,蔡国强的微博,258
朱星杰,朱星杰J_zen,995.7万
赵楠,赵楠_自游家NIUTRON,1.9万
郑湫泓,郑湫泓Jade,241.3万
周历杰,周历杰,342.2万
谢兴阳,谢谢谢兴阳-不用谢,321.1万
王亚彬,王亚彬,64.3万
徐翔,应莹_ying,26.9万
文苡帆,文苡帆,492.4万
谢莹,No weibo account,
任嘉伦,任嘉伦Allen,2509.3万
法老,法老_Pharaoh,403.1万
林簌,林簌SUSU,23.6万
吴俊霆,吴俊霆,90.9万
李诞,李诞,880.7万
杨幂,杨幂,1.12亿
马伯骞,马伯骞Victor,1640.5万
陈瑶,陈瑶Sebrina,1000.5万
张博洋,张博洋byz,61万
张鲁一,张鲁一,505.5万
季冠霖,季冠霖,52.9万
邓紫棋,GEM鄧紫棋,3469.7万
郑繁星,郑繁星,482.4万
李祉默,李祉默_香芋,50.7万
辛柏青,辛柏青,95.6万
于和伟,于和伟,1169.8万
李沁,李沁,2701.1万
彭禺厶,彭禺厶,117.9万
果靖霖,果靖霖,5.5万
赵爽,我是爽妞儿,102.8万
陈叶生,陈叶生Hao,129.3万
陆婷,_陆婷_LT,617.8万
黄磊,黄磊微博,3929.8万
热狗,MCHOTDOG熱狗,450.9万
王晨艺,晨艺,650万
檀健次,MIC檀健次JC-T,1297.4万
庞瀚辰,庞瀚辰,515.4万
朱林雨,我是小鸡蛋朱林雨,131万
朱容君,朱容君-兔子牙,449.9万
李婷婷,无敌大王李婷婷,349.9万
吴谨言,吴谨言,1543.2万
王东,王东演员,423.1万
汪品先,汪品先院士,12.9万
张旭敏,No weibo account,
张国伟,张国伟_国家伟大,520.8万
解琳,No weibo account,
鹿晗,M鹿M,6321.8万
邬君梅,邬君梅VivianWu,153.6万
马苏,马苏,1661.9万
尔冬升,爾冬陞,175.7万
刘柏辛,发新歌的刘柏辛,797.8万
王真儿,演员王真儿,235.1万
袁泉,袁泉,369万
王浩信,王浩信,221万
何泓姗,何泓姗VivaHo,950.2万
容祖儿,容祖儿,1015.2万
彭小苒,彭小苒,651.4万
潘粤明,潘粤明,832.4万
孙怡,孙怡微博,1101.5万
蒋毅,蒋毅同学,86.7万
高秋梓,高秋梓本人,535.6万
邹静之,邹静之,335.5万
陈帅,Jo陈帅,122.1万
方安娜,方安娜,564.3万
徐若晗,徐若晗cici,181.8万
刘维,刘维-Julius,1083.7万
鄂靖文,鄂靖文Vin,415.2万
田艺苗,田艺苗,90.2万
张信哲,張信哲JeffChang,313.1万
余梦寒,余梦寒Rachel,15.8万
菜菜,Mariam菜菜,180.4万
许吴彬,许吴彬,56万
谢猛,No weibo account,
明鹏,明鹏MingPeng,190.7万
殷滨,No weibo account,
杨祺如,杨祺如Ruby,8.4万
醋醋,醋醋cucu,112.6万
柳岩,柳岩,3340.9万
伍思凯,伍思凯,54.1万
凤小岳,凤小岳,212.9万
金靖,金九粒,269.9万
徐峥,徐峥,1048.4万
杰克糖,No weibo account,
叶锦添,TimYip-叶锦添,11.9万
蔡灼瑜,No weibo account,
沈凌,沈凌,443.5万
陈泇文,陈泇文,207.3万
陈放,陈放PeterChan,7815
陈奕雯,陈奕雯·,19万
王若麟,王若麟,115.2万
虞书欣,虞书欣Esther,2185.6万
问题狗狗大改造,一浩不是1号,4万
陈佩斯,No weibo account,
范哲琛,哲琛--SS,1.5万
周倩仪,No weibo account,
麦童,Poppy麦童,Poppy麦童
胡冰卿,胡冰卿,999.3万
阿香,香水有毒阿香,14.4万
苏青,苏青,701.6万
赞多,赞多SANTA,356.6万
张靓颖,张靓颖,4312.3万
沈磊,淮扬帅胖沈磊,22万
芦芳生,芦芳生,258.1万
李庚希,李庚希Teresa,563万
韩承羽,韩承羽,513.4万
宣淏,宣淏是三点水的淏,68.8万
宁桓宇,宁桓宇,620.7万
曹曦文,曹曦文,520.5万
朱丽岚,朱丽岚岚岚,103.6万
唐涯,唐涯海草,67
董峪钊,No weibo account,
刘欣然,刘欣然_model,448万
郭赫轩,小演员郭赫轩,25.1万
管云鹏,管云鹏_,308.9万
王泽轩,王泽轩0325,73.7万
曾舜晞,曾舜晞Joseph,2129.3万
曦子,曦子姐姐Xily,15.3万
苏可,苏可,719.3万
周游,七天连锁大圣,1.1万
杨魏玲花,凤凰传奇De玲花,249.7万
董勇,董勇演员,11.6万
杨晴瑄,楊晴瑄Tiffany,7.3万
徐梦洁,徐梦洁,1247.5万
唐国强,唐国强,116.7万
张铭恩,张铭恩_,819.5万
刘慈欣,workership,56万
海一天,海一天real-元昊版,106.6万
刘思岑 Sicen Liu,我叫刘思岑,52.2万
张博宇,张博宇ASFTS,47.7万
李银河,李银河,450万
汪颖菲,汪颖菲Aoife,35.5万
梁靖康,梁靖康,1172.4万
郝瀚,郝瀚-haohan,5.8万
朱正廷,THEO-朱正廷,2402.8万
刘禾森,JasonLiu刘禾森,506
鬼月,鬼月柒,1.6万
薛凯琪,薛凯琪,822.2万
蒙曼,蒙曼,40.5万
余昌宇,FISH余昌宇,2.8万
甘望星,甘望星_xx,219.1万
姜广涛,姜广涛,253.8万
成龙,成龙,3117.6万
大白,大白老师卍,915.7万
白澍,白澍白澍,509.2万
利路修,利路修-Lelush,417.8万
俞飞鸿,俞飞鸿工作室,35.3万
池忆,易安音乐社-池忆,124.9万
蒋璐霞,蒋璐霞JLX,362.8万
周杰伦,周杰伦中文网JayCn,361万
杨树林,杨树林团长,66.9万
吴昊泽,演员吴昊泽,411.2万
赵雅芝,赵雅芝,1138.3万
尹正,尹正,915万
杨天翔,杨天翔,245.6万
邓凯,邓凯-Kai,118.5万
圻夏夏,XIA夏大脸,32.9万
程小蒙,程小蒙serena,289.3万
文淇,演员文淇,878.9万
张若昀,张若昀,2735.2万
马正阳,NAOKI煦,142.9万
张纯烨,张纯烨微博,173.8万
刘涛,刘涛tamia,4383.4万
龙吟,No weibo account,
康震,北师大康震,41.2万
老狼,老狼,121万
安悦溪,安悦溪,517.6万
杨颖,angelababy,1.05亿
刘宇宁,摩登兄弟刘宇宁,1752.8万
南笙,南笙,429万
陈妍希,陳妍希michelle,1510.1万
米热,米热MERXAT,626.2万
关畅,关畅的微博,116.5万
王天辰,不停锻炼的王天辰,248万
张韶涵,张韶涵,1966.8万
巴扎黑,巴扎黑是你大爷,43.3万
佟大为,佟大为,2698.3万
胡兵,胡兵,1317万
王紫逸,王紫逸Z·WANG,115.6万
张涛,张涛Aaron,7760
林峯,林峯,901.8万
邱鼎杰,邱鼎杰_kipuka,11.9万
鲁白,No weibo account,
张子枫,张子枫,1539.4万
翟昱霖,No weibo account,
宝木中阳,cucn201宝木中阳,133.7万
孙茜,孙茜,585.7万
马虎,马虎,3.1万
蓝盈莹,蓝盈莹Lyric,1305.1万
王砚辉,演员王砚辉,101.3万
张海宇,张海宇Patrick,502.8万
陈若仪,陳若儀Kellycupcake,80.6万
阚清子,阚清子,1545万
左林杰,左林杰,300.7万
杨馥羽,杨馥羽,70.4万
吕书君,No weibo account,
王路晴,王路晴LQ,276.6万
陈楚河,陈楚河的楚河,205.9万
尹烨,尹烨,106.3万
吴京,吳京,1455.2万
宝妹,时尚挖宝妹,942万
蒋梦婕,蒋梦婕,802万
贾平凹,贾平凹,26.4万
倪虹洁,倪虹洁,306.7万
呼兰,呼兰hooligan,109.6万
李文婷,No weibo account,
王祖蓝,王祖藍,4520.3万
谷爱凌,青蛙公主爱凌,652.9万
经超,经超经超,639.1万
刘旭威,-刘旭威,77.5万
常斌,常斌Brian,121.1万
孙伊涵,孙伊涵Annie,688万
袁姗姗,袁姗姗,3008.7万
苏童,苏童·,987
杨舒,杨舒SuSu,28.3万
刘一曈,刘一曈,177.7万
邵兵,邵兵,364.4万
王力宏,王力宏,6720.1万
尼格买提·热合曼,No weibo account,
古巨基,古巨基LeoKu,863.7万
李冰冰,李冰冰,4228.1万
徐洋,徐洋-Andrew,604.9万
于震,于震,76.7万
于朦胧,于朦胧,2677.8万
CAI,No weibo account,
丞磊,丞磊,131.2万
黄灿灿,黄灿灿acan,611.4万
陈芳彤,陈芳彤,162万
沈涛,沈涛,48.8万
刘佳,No weibo account,
袁伟豪,benjamin袁伟豪,156.6万
张颜齐,张颜齐,907.7万
上海彩虹室内合唱团,上海彩虹室内合唱团,205.4万
高煜霏,高煜霏,114.9万
宁浩,No weibo account,
郁葱,郁葱,12.7万
周子其,周子其-,1.6万
蒋敦豪,种地吧蒋敦豪,167.2万
黄明昊,jjjustin0219,2531.2万
狐三少,我是狐三少,3420
倪珂欣,倪珂欣-,119万
曹恩齐,曹恩齐Vincent,209.9万
刘亚锟,刘亚锟呗,21.3万
张亦驰,张亦驰isolation,286万
刘亦菲,刘亦菲,7123.5万
小昂,小昂,2139
周子瑜,周子瑜_TZUYU养鱼手册,32.1万
三石,三石小君,171.1万
赵志伟,赵志伟_Eden,1004.9万
沈培艺,No weibo account,
薛元清,薛元清_,1.6万
董昕赟,董昕赟,37.2万
周彦哲,周彦哲,1万
杨芸晴,Sunnee杨芸晴,2208.8万
唐艺昕,唐艺昕,1756.1万
马秋子,马秋子球球,118.1万
宋小宝,宋小宝纯行货,630.6万
高至霆,高至霆,300.6万
黑泽朋世,No weibo account,
张泉灵,张泉灵,1122.1万
郝平,郝平,114.9万
冯仑,风马牛社区,56.5万
杨琼,杨琼_YQ,36.9万
万鹏,万鹏er,213.3万
林昕宜,林昕宜-,147.9万
宋祖儿,宋祖儿lareina,1631万
张东,张东不聪明,15.1万
李天行,No weibo account,
张博恒,張博恆,61.1万
吴克群,吴克群,1216万
蔡国庆,蔡国庆,77.4万
郑雅文,鄭雅文Veronique,48.98分
安娜伊思·马田,安娜伊思马田,2860
范明,范明,146.5万
闫学晶,演员-闫学晶,2.8万
张悦楠,张悦楠-ZM,90.6万
韩栋,韩栋,1039.2万
王子文,王子文Ava,2142.8万
孙泽源,孙泽源kele,452.6万
任敏,演员任敏,560.3万
赫雷,赫雷-Actor,112.9万
李承铉,李承铉,683.6万
徐海乔,徐海乔,1199.5万
毕雯珺,Biiiii毕雯珺,1163.3万
刘敏涛,刘敏涛93,484.2万
徐新驰,徐新驰Nemo,246.7万
梁朝伟,梁朝偉,239.7万
王丽坤,王丽坤,1941.4万
陶虹,小陶虹,282.1万
冯熙尧,冯熙尧Hebe,3万
朱媛媛,朱媛媛,22.3万
杨凝,No weibo account,
傅首尔,傅妈,428.3万
徐晓璐,徐晓璐,68.2万
景甜,景甜,2637.1万
彦希,彦希Liam,974.3万
陶宇杰,水王陶宇杰,16.5万
张恩泽,配音哒张恩泽,1.4万
小河,魏小河,160.8万
袁昊,袁昊Boy,514.9万
袁文康,袁文康,317.4万
王耀庆,王耀庆工作室,109.5万
张秉君,张秉君,4780
毛林林,毛林林NIKITA,624.1万
李兰迪,李兰迪,777万
李宇春,李宇春,1627.9万
王子异,王子异,1773.6万
于心妍,于心妍_,17.9万
张一山,张一山,3523.8万
梁婧娴,梁婧娴,206.3万
边江,边江de围脖,344.3万
Amu,No weibo account,
姜振宇,微反应-姜振宇,222.6万
张彤,张彤,109.6万
王漪淼,王漪淼,115.4万
王琳凯,小鬼-王琳凯,2032.3万
赵子琪,赵子琪,447.8万
高圆圆,高圆圆,4901.9万
李金铭,李金铭Kimi,666.9万
吴芊盈,小樱吴芊盈,180.9万
袁咏仪,袁咏仪靓靓,1882万
王彦霖,王彦霖,1247.5万
任宥纶,任宥纶,424.6万
杨钰莹,星时代杨钰莹,668.4万
沈腾,沈腾,1595.3万
魏天浩,魏天浩,499.7万
哈妮克孜,哈妮克孜,239.6万
施柏宇,施柏宇patrick,509万
李宗翰,李宗翰,425.7万
林子祥,林子祥LAMUSICAL,6.7万
吕晓霖,吕晓霖,87.9万
马思超,马思超Kido,551.7万
耿嘉唯,耿嘉唯,10.9万
秦霄贤,秦霄贤,944.6万
彭昱畅,彭昱畅,1086.9万
白敬亭,白敬亭,3635.8万
范帅琦,范帅琦,83.6万
张雪迎,张雪迎Sophie,2142万
凌佳楠,No weibo account,
魏茹晨,魏茹晨,4
顾靖,顾靖Edith,10.8万
王青,青青青青93310,257.7万
董宝石,No weibo account,
齐思钧,齐思钧,456.4万
宋茜,宋茜,4903.4万
赖艺,赖艺Leon,585.5万
魏坤琳,魏坤琳,415.6万
贺树峰,No weibo account,
罗翔,刑法学人罗翔,316万
罗一舟,Zz罗一舟,413.5万
马薇薇,马薇薇,520.7万
李彩桦,李彩华rainli李彩桦,358万
幽舞越山,幽舞越山,40.5万
周微,No weibo account,
王玥晞,王玥晞,170.1万
赵林,赵林-甘露公益,299.9万
杨烁,杨烁,591.6万
金沫汐,金沫汐可爱团小静,502
张逗逗,演员张逗逗,124.7万
涂松岩,涂松岩,141.1万
韩玖诺,韩玖诺,153.1万
黄灯,No weibo account,
史策,史策,67.3万
张晋,张晋max,629.4万
张晚意,张晚意,387.6万
梁达伟 Dawei Liang,配音演员梁达伟,27.7万
施诗,施诗Kira,641.8万
刘震云,刘震云,23.1万
唐嫣,唐嫣,7679.6万
唐鉴军,唐鉴军,11.7万
周洁琼,周洁琼_OFFICIAL,898.5万
赖雨濛,赖雨濛,1003.4万
陈博豪,陈博豪同学,431.5万
李诚儒,李诚儒,115.9万
卫诗雅,卫诗雅Michelle,50.3万
许娣,演员许娣,15.1万
潘虹,虹噗噗_潘虹,30.1万
侯佩杉 Peishan Hou,侯佩杉杉杉,161.9万
庄茱淩,庄茱淩Juju,9.3万
安迪,安迪LilAndyKTA,32.5万
潘紫妍,演员潘紫妍,106.1万
姬野,No weibo account,
戴军,戴军,372.9万
山新,山新,436.1万
王晓佳,天草_王晓佳,219.2万
管金麟,奔跑吧管金麟,5.8万
林一,我是林一同学,688.1万
王紫璇,王紫璇CiCi,634.2万
阿达娃,阿达娃Adawa,108.2万
马可,演员马可,910.7万
郭浩然,郭浩然729,85.4万
李玫瑾,李玫瑾教授经典育儿知识,8.9万
