剧名,集数,制作,首播,主演,题材
谁的青春不迷茫之我在未来等你,36,2018,9月9日 爱奇艺,李光洁、费启鸣、孙千（客串:佟丽娅、徐怀钰、叶祖新）,青春
你是我的答案,42,2018,9月9日 湖南卫视青春进行时,郭晓东、吴谨言、潘时七,都市
亲·爱的味道,39,2017,9月10日 江苏卫视周播剧场,陆毅、郭采洁、炎亚纶、艾晓琪、李莎旻子（客串:包小松、狄志杰、钟欣凌、孔令美、林美秀）,都市
新龙门客栈,58,2017,9月14日 美国城市卫视18.9频道,戚薇、马可、沈梦辰、保剑锋、宗峰岩、傅颖、叶子淇、陈晓东、杨明娜、季晨、叶子淇,古装
十年三月三十日,39,2017,9月19日 腾讯视频/爱奇艺（首播），12月13日 深圳卫视（上星）,窦骁、古力娜扎、徐正溪、宋妍霏、王姿允、金泽灏、连凯（客串:蒋毅）,都市
激荡,46,2018,9月22日 湖南卫视金鹰独播剧场,任重、郭晓东、李念、车晓（客串:侯勇）,都市
在远方,54,2018,9月22日 浙江/东方卫视,刘烨、马伊琍、梅婷、保剑锋、曾黎,都市
世界欠我一个初恋,24,2018,9月25日 爱奇艺（首播），2020年8月14日 深圳卫视下午（上星）,邢昭林、白鹿、翟子路、陈昊蓝（客串:方芳）,都市
不负时光,38,2017,10月2日 腾讯视频/爱奇艺,安悦溪、邢昭林,都市
我知道你的秘密,34,2018,10月4日 优酷,黄宗泽、叶青、曲高位、吴欣蔓、刘显达、章涛,悬疑
彩虹的重力,40,2018,10月16日 腾讯视频,高以翔、宣璐、张亮、锦荣、岳以恩、林佑威、张柏嘉、黄柏钧,都市
我爱你这是最好的安排,48,2017,10月16日 芒果TV,张彬彬、郑合惠子、高洋、孔舒航、张颖颖,都市
我的机器人男友,42,2017,10月21日 浙江卫视周播,姜潮、毛晓彤、刘天佐、李小冉,青春
热血少年,58,2018,10月22日 爱奇艺,黄子韬、张雪迎、刘宇宁、曹曦月、朱杰、王子腾,民初
初恋那件小事,36,2019,10月23日 湖南卫视青春进行时,赖冠霖、赵今麦、柴蔚、王润泽、王博文、陈柯帆（客串:徐海乔、吕一）,青春
扑通扑通的青春,30,2018,10月23日 优酷,谷嘉诚、戚砚笛、查侬·散顶腾古、孙伟豪,都市
海棠经雨胭脂透,52,2017,10月24日 芒果TV（首播），2020年1月13日 浙江卫视周播（上星）,邓伦、李一桐、应昊茗、张雅卓、方中信、李若彤、黄文豪、白珊,民初
北京地铁,31,2016,11月2日 北京影视频道(中午),蓝盈莹、邬立朋、高鑫、傅晶、张光北,都市
谁的青春不叛逆,44,2017,11月3日 芒果TV,于朦胧、毛晓彤、梁大维,青春
进击的剧组,20,,11月4日 四川经济频道,吴星鑫、李永鑫,都市
桔子街的断货男,52,2017,11月5日 徐州经济生活频道,王耀庆、车晓、杨玏、郭家铭,都市
看见味道的你,25,2018,11月7日 爱奇艺,龚俊、宋伊人,都市
谋圣鬼谷子,52,2013,11月8日 youtube,段奕宏、戚薇、徐麒雯、祖峰、倪大宏、房子斌,古装
鹤唳华亭,60,2018,11月12日 优酷,罗晋、李一桐、黄志忠、张志坚、苗圃、金瀚、郑业成、王雨、程小蒙、邱心志,古装
鳄鱼与牙签鸟,50,2018,11月18日 湖南卫视金鹰独播剧场,陈柏霖、张天爱、吴昊宸、黄一琳,都市
第二次也很美,57,2018,11月20日 东方卫视,王子文、张鲁一、于小伟、于明加、徐好、谢帅、夏梓桐、李亭哲（客串:董力、刘威、张本煜）,都市
乔安你好,38,2018,11月21日 浙江/江苏卫视,郑元畅、颖儿、何杜娟、蒋龙、金泽、张浩天、王紫潼（客串:吴卓翰、刘牧）,都市
极速救援,40,2018,11月25日 湖南卫视青春进行时,张赫、王佳宇、魏哲鸣、刘忻,都市
庆余年,46,2018,11月26日 爱奇艺/腾讯视频（首播），2020年2月3日 浙江卫视白天档（上星）,张若昀、李沁、陈道明、吴刚、李小冉、辛芷蕾、李纯、宋轶、刘桦、田雨、王阳、于小伟（客串:袁泉、于荣光）,古装
青春抛物线,40,2017,11月27日 爱奇艺/腾讯视频/优酷,于朦胧、苗苗、周游、陈欣予,青春
澳门人家,32,2019,11月29日 央视一套,任达华、董洁、柯蓝、江珊、李立群、冯嘉怡、岳旸,都市
热爱,37,2017,12月1日 北京卫视,杨玏、啜妮、刘敏涛、张晨光、牛莉、梁冠华、吕中、柯蓝、刘蓓、范伟、张歆艺、范明、黄圣依、王博文、鲁照华（客串:黄志忠、郝蕾、喻恩泰、王迅、娟子）,都市
剑王朝,34,2017,12月6日 爱奇艺,李现、李一桐、刘奕君、姚笛、赵圆瑗、何润东、肖旭、张维娜、刘凯、刘怡潼、宗峰岩、刘海蓝,古装
七彩虹部落,52,2018,12月6日 CCTV-14 少儿,窦新豪、张馨儿,青少
瀛寰之志,42,2011,12月10日 乐视视频,单瑛哲、王雅伦、毛俊杰、姜武、吴镇宇、刘威,古装
梦在海这边,44,2019,12月11日 浙江/江苏卫视,李念、朱雨辰、毛林林、毛毅、丁勇岱（客串:郭京飞、王耀庆、于波、茹萍）,都市
80度爱恋,12,2018,12月14日 广东电视台珠江频道,王子彤、骆俊帆、杨思琦,都市
闪光少女,24,2018,12月16日 爱奇艺,周依然、郝富申、王安宇、李昳晨,青春
大明风华,62,2017,12月17日 湖南卫视金鹰独播剧场,汤唯、朱亚文、邓家佳、乔振宇、吴越、梁冠华、俞灏明、王学圻、张艺兴,古装
精英律师,42,2019,12月20日 北京/东方卫视,靳东、蓝盈莹、孙淳、田雨、刘敏涛、朱珠、代旭、邬君梅、海一天、吴越、王阳、钱波、许娣、凌潇肃、乔振宇、蒋欣、李宗翰、张晞临,都市
锦衣之下,55,2017,12月28日 爱奇艺/芒果TV（首播），2021年1月18日 广东卫视（上星）,任嘉伦、谭松韵、韩栋、叶青、姚奕辰、路宏、韩承羽、习雪,古装
最亲最爱的人,44,2016,12月30日 河北农民频道,邓家佳、明道、何赛飞、白凡,都市
心冤,10,2017,1月7日 腾讯视频,惠英红、谢君豪,悬疑
公主驾到,25,2017,1月8日 优酷,方妍心、王璐鑫、沈世朋、郑惜月、严子贤,古装
众王驾到,24,2017,1月9日 芒果TV,代文雯、高泰宇,科幻
独家记忆,24,2018,1月14日 爱奇艺,张超、李婷婷,青春
镇灵攻略第一季,12,2017,1月15日 爱奇艺,符龙飞、邓宁、洪冰瑶,科幻
奈何BOSS要娶我,20,2018,1月17日 搜狐视频/芒果TV,徐开骋、易柏辰、王双,青春
绝世千金,24,2018,1月17日 爱奇艺,龚俊、郑湫泓、方逸伦,古装
怒晴湘西,21,2018,1月21日 腾讯视频,潘粤明、高伟光、辛芷蕾、曹卫宇,民初
乡村爱情11,60,2018,1月26日 优酷,马心怡、闫光明、毕畅、王小利、刘小光、唐鉴军、蔡维利、于月仙、贺树峰、宋晓峰（客串:赵本山、狄龙）,乡土
最动听的事,24,2017,1月28日 优酷/芒果TV,赵露思、王以纶,都市
八分钟的温暖,31,2018,1月30日 腾讯视频,陈汛、丁禹兮、姜卓君、朱丹妮（客串:胡夏）,青春
少林小英雄,12,2017,2月1日 爱奇艺,释小松、郝怡霖,古装
失控,24,2018,2月12日 优酷,李李仁、贾景晖,悬疑
彗星来的那一夜,16,2018,2月13日 芒果TV,符龙飞、汤梦佳,都市
甜心软糖第一季,12,2018,2月14日 爱奇艺,马倩倩、郑鹏、王文轩,都市
我的奇妙男友2之恋恋不忘,38,2017,2月14日 芒果TV,Mike D. Angelo、虞书欣（客串:田丽、张立威）,科幻
大唐魔盗团,24,2017,2月20日 腾讯视频,吴优、陈希郡、刘萌萌、葛铮、张承、张晔、宋海颉,古装
能耐大了第一季,12,2018,2月25日 爱奇艺,张鹤伦、高峰、栾云平、杨九郎、孟鹤堂、鄂靖文、任铭松、李思睿、张云雷、李鹤彪,都市
镇灵攻略第二季,12,2017,2月26日 爱奇艺,符龙飞、邓宁、洪冰瑶,科幻
小伶魔法世界,10,,3月1日 腾讯视频,小伶、夏天、悦儿,青少
诡使神差,12,2017,3月4日 爱奇艺,冯建宇、王蕴凡、陶思源,科幻
最后一个女神,12,2017,3月7日 爱奇艺,曹琦、蒙恩、祖怀、冯俊杰,科幻
能耐大了第二季,12,2018,2月25日 爱奇艺,张鹤伦、高峰、栾云平、杨九郎、孟鹤堂、鄂靖文、任铭松、李思睿、张云雷、李鹤彪,都市
爱上北斗星男友,36,2018,3月13日 爱奇艺,徐璐、张铭恩、任言恺、吴昕（客串:罗嘉良、温碧霞、曹炳琨、邓莎）,都市
嘀！男友卡,20,2018,3月13日 芒果TV,易恒、成果、马梓铭、石雪婧、李俊锋、刘芷微,青春
拜见宫主大人2,22,2018,3月14日 搜狐视频,关智斌、孙雪宁（客串:易柏辰）,古装
大周小冰人,24,2018,3月15日 爱奇艺,曾梦雪、戴景耀、黄甫桀,古装
大宋北斗司,36,2017,3月19日 爱奇艺/腾讯视频,徐可、代露娃、张雨剑、黄灿灿,古装
等等啊我的青春,24,2018,3月19日 优酷,厉嘉琪、赵弈钦、李歌洋、许梦圆、董岩磊,青春
人鱼恋爱法则第一季,12,2018,3月20日 爱奇艺,李俊瑶、王彦彬、范晓东、何其炜,青春
甜心软糖第二季,12,2018,3月21日 爱奇艺,马倩倩、郑鹏、王文轩,都市
玛丽学园,20,2018,3月21日 腾讯视频,蒋毓玮、方楚彤,青春
我们的十八岁,12,2018,3月27日 优酷,张驰、姜星呈、石晶晖,青春
暗黑者第三季,24,2016,3月28日 腾讯视频,郭京飞、李倩、魏千翔、曲少石、杜若溪、胡耘豪,涉案
铁探,30,2018,4月1日 腾讯视频,袁伟豪、惠英红、姜皓文、蔡思贝、黄智贤、杨明、许绍雄、梁竞徽（特别演出： 石修、陈敏之）,涉案
人鱼恋爱法则第二季,12,2018,4月4日 爱奇艺,李俊瑶、王彦彬、范晓东、何其炜,青春
致我们暖暖的小时光,24,2018,4月10日 腾讯视频,邢菲、林一、唐晓天、郑英辰,青春
民国少年侦探社,30,2017,4月11日 优酷,刘彤、虞祎杰、张玮航、李星、于美红、郑丞丞、熊梓淇,民初
罪夜无间,27,2017,4月16日 优酷,王泷正、甘露、纪宁,悬疑
绅探,24,2018,4月18日 腾讯视频,白宇、尤靖茹、季晨,民初
哈哈健身房,12,2018,4月23日 搜狐视频,靳锦、吴昱瑶、宿丹、路婧绮,都市
罪恶消亡史,12,2018,4月25日 爱奇艺,于青斌、顾权、刘楚玄,悬疑
出线了，初恋,30,2018,4月30日 芒果TV,陈子由、郑合惠子,青春
机动部队,30,2018,5月6日 优酷,林峯、蔡卓妍、方中信、谭耀文、张继聪、温碧霞（客串:林雪、张锦程、石修、苑琼丹）,涉案
何人生还,24,2017,5月9日 腾讯视频,李玉洁、吴文璟,悬疑
站在你的角度看我第一季,12,2018,5月15日 爱奇艺,朱圣祎、王关彭、徐晗,都市
非常Y星人,20,2017,5月22日 爱奇艺,徐立、强川,科幻
马卡龙少女,24,2018,5月23日 芒果TV,陈芋米、吕勇卓、蒲萄、刘名凯、金灿、王紫金,都市
爵迹临界天下,48,2017,5月27日 爱奇艺,郑元畅、张铭恩、黄梦莹、季晨、熊乃瑾,古装
一往无前,12,2017,5月27日 爱奇艺,贺庆智、任悦,都市
青囊传,36,2018,5月30日 优酷,李宏毅、赵露思、张思帆,民初
动物管理局,24,2017,6月5日 爱奇艺,陈赫、王子文、唐晓天、孔宋今、龙斌、谭泉、黄天元、黄一琳（客串:郭京飞、凤小岳、海一天、陈芋米）,科幻
未来的秘密,5,2019,6月5日 爱奇艺,丁禹兮、张舒沦、黄米依、曾淇,科幻
怒海潜沙&秦岭神树,40,2018,6月6日 腾讯视频,侯明昊、成毅、李曼、张博宇、斯琴高娃、刘学义、韩承羽、姚奕辰、张天阳,悬疑
陪你到世界之巅,35,2018,6月9日 芒果TV,王一博、王子璇、严禹豪、丁冠森、吕小雨、程启蒙、焉栩嘉,青春
暗恋橘生淮南,24,2017,6月10日 腾讯视频,朱颜曼滋、赵顺然,青春
当她恋爱时,30,2018,6月11日 优酷,何花、王瑞昌,都市
我的盖世英雄第一季,12,2018,6月14日 爱奇艺,任宥纶、廖语辰、卢东旭、章乐韵,青春
我的盖世英雄第二季,12,2018,6月14日 爱奇艺,任宥纶、廖语辰、卢东旭、章乐韵,青春
我的白鲸男友,24,2018,6月19日 爱奇艺,李俊辰、王瑛瑛,悬疑
