web-scraper-order,web-scraper-start-url,score,review,5star,4star,3star,2star,1star,director,writer,actor,genre,country,language,Premiere,season,Episode,Episode Length,aka,IMDb,name,link,link-href,channel,permission
"1689869836-208","https://movie.douban.com/tv/","","暂无评分","","","","","","","","","类型: 剧情 / 动画 / 奇幻 / 冒险","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-07-06(中国大陆)","季数: 7","集数: 60","单集片长: 15分钟","又名: 羊村守护者7","","喜羊羊与灰太狼之遨游神秘洋","喜羊羊与灰太狼之遨游神秘洋2023 / 中国大陆 / 剧情 动画 奇幻 冒险暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36431122","优酷视频","VIP免费观看"
"1689869836-209","https://movie.douban.com/tv/","","暂无评分","","","","","","","","","类型: 剧情 / 动画 / 奇幻 / 冒险","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-07-06(中国大陆)","季数: 7","集数: 60","单集片长: 15分钟","又名: 羊村守护者7","","喜羊羊与灰太狼之遨游神秘洋","喜羊羊与灰太狼之遨游神秘洋2023 / 中国大陆 / 剧情 动画 奇幻 冒险暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36431122","腾讯视频","VIP免费观看"
"1689869864-210","https://movie.douban.com/tv/","6.7","35398人评价","20.5%","20.5%","33.6%","13.1%","8.4%","导演: 陈宙飞 / 赵晓磊","编剧: 赵晓磊","言承旭 / 徐若晗 / 黄奕 / 马思超 / 于翔 / 唐曾 / 赵圆瑗更多...","类型: 剧情 / 爱情","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-13(中国大陆)","","集数: 24","单集片长: 35分钟","","IMDb: tt26737833","夏花","夏花2023 / 中国大陆 / 剧情 爱情 / 陈宙飞 赵晓磊 / 言承旭 徐若晗6.7","https://www.douban.com/doubanapp/dispatch?uri=/tv/35740400","腾讯视频","VIP免费观看"
"1689869885-211","https://movie.douban.com/tv/","4.6","1812人评价","6.3%","6.3%","24.7%","28.5%","32.3%","导演: 果果","","何炅 / 张亚东 / 那英 / 谢霆锋 / 郑钧 / 汪峰 / 吴建豪 / 黄子韬 / 李宇春更多...","类型: 音乐 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-04-27(中国大陆)","","集数: 12","单集片长: 90分钟","又名: 青年派计划","","青年π计划","青年π计划2023 / 中国大陆 / 音乐 真人秀 / 果果 / 何炅 张亚东4.6","https://www.douban.com/doubanapp/dispatch?uri=/tv/36288350","芒果TV","VIP免费观看"
"1689869906-212","https://movie.douban.com/tv/","9.3","8746人评价","72.1%","72.1%","4.5%","0.7%","0.2%","导演: 沈永鹏","编剧: 沈永鹏","","类型: 纪录片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-12(中国大陆)","","集数: 5","单集片长: 40分钟","又名: The flavor of history","","惟有香如故","惟有香如故2023 / 中国大陆 / 纪录片 / 沈永鹏9.3","https://www.douban.com/doubanapp/dispatch?uri=/tv/35713208","哔哩哔哩","VIP免费观看"
"1689869927-213","https://movie.douban.com/tv/","5.6","11798人评价","6.4%","6.4%","41.5%","24.1%","12.6%","导演: 简川訸","编剧: 阿耐","江疏影 / 杨采钰 / 张佳宁 / 张慧雯 / 李浩菲 / 窦骁 / 王安宇 / 曲哲明 / 经超 / 黄觉更多...","类型: 剧情 / 爱情","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-04-07(中国大陆)","季数: 4","集数: 37","单集片长: 45分钟","又名: 欢乐颂第四季 / Ode to Joy 4","","欢乐颂4","欢乐颂42023 / 中国大陆 / 剧情 爱情 / 简川訸 / 江疏影 杨采钰5.6","https://www.douban.com/doubanapp/dispatch?uri=/tv/35236761","腾讯视频","VIP免费观看"
"1689869948-214","https://movie.douban.com/tv/","8.3","1877人评价","48.6%","48.6%","15.7%","6.5%","1.4%","","","大左 / 萧敬腾 / 杨迪 / 蒲熠星 / 沈月 / 易梦玲 / 张柏芝 / 于志凌更多...","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-24(中国大陆)","","集数: 10","单集片长: 120分钟","又名: 怦然心动20岁3 / 怦然心动二十岁 第三季","","怦然心动20岁 第三季","怦然心动20岁 第三季2023 / 中国大陆 / 真人秀 / 大左 萧敬腾8.3","https://www.douban.com/doubanapp/dispatch?uri=/tv/36099934","优酷视频","VIP免费观看"
"1689869969-215","https://movie.douban.com/tv/","9.5","5960人评价","76.5%","76.5%","2.4%","0.6%","0.2%","","","许知远 / 蔡皋 / 锺叔河 / 张双南 / 彭凯平 / 陈晓卿 / 冯远征 / 徐京坤 / 王笛 / 田浩江 / 韩红 / 李景亮 / 西川 / 李东生 / 倪光南更多...","类型: 脱口秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-01(中国大陆)","季数: 7","集数: 16","单集片长: 62分钟","又名: 十三邀7","","十三邀 第七季","十三邀 第七季2023 / 中国大陆 / 脱口秀 / 许知远 蔡皋9.5","https://www.douban.com/doubanapp/dispatch?uri=/tv/36253896","",""
"1689869990-216","https://movie.douban.com/tv/","6.1","4316人评价","10.5%","10.5%","42.3%","20.3%","7.0%","导演: 何佳男","","李九霖 / 关畅 / 袁梓铭 / 吴洛浛","类型: 爱情 / 古装","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-26(中国大陆)","","集数: 24","","","","锁爱三生","锁爱三生2023 / 中国大陆 / 爱情 古装 / 何佳男 / 李九霖 关畅6.1","https://www.douban.com/doubanapp/dispatch?uri=/tv/36315567","优酷视频","VIP免费观看"
"1689870011-217","https://movie.douban.com/tv/","7.4","9374人评价","19.8%","19.8%","34.2%","6.7%","1.7%","导演: 张淂溙","编剧: 李娜","戚砚笛 / 刘怡潼 / 吴迪飞 / 叶可儿 / 蔡欣洋 / 刘佳 / 陈美林 / 张璋更多...","类型: 剧情","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-10(中国大陆)","","集数: 20","","","IMDb: tt27655047","他跨越山海而来","他跨越山海而来2023 / 中国大陆 / 剧情 / 张淂溙 / 戚砚笛 刘怡潼7.4","https://www.douban.com/doubanapp/dispatch?uri=/tv/35661637","爱奇艺视频","VIP免费观看"
"1689870032-218","https://movie.douban.com/tv/","9.1","11080人评价","60.2%","60.2%","5.7%","0.6%","0.1%","导演: 陈英杰","","陈英杰 / 张旭敏 / 盐不浪 / 雷从瑞 / 苏涛 / 成正仁更多...","类型: 纪录片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-22(中国大陆)","","集数: 6","单集片长: 58分钟","又名: In Goods We Trust","","这货哪来的","这货哪来的2023 / 中国大陆 / 纪录片 / 陈英杰 / 陈英杰 张旭敏9.1","https://www.douban.com/doubanapp/dispatch?uri=/tv/36253154","",""
"1689870053-219","https://movie.douban.com/tv/","6.4","22503人评价","10.4%","10.4%","46.7%","13.5%","5.7%","导演: 初的见","编剧: 程方媛","李墨之 / 樊治欣 / 李奕臻 / 常喆宽 / 李欣燃 / 王旭东 / 邱鼎杰 / 李之繁更多...","","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-13(中国大陆)","","集数: 24","单集片长: 40分钟","","IMDb: tt26737899","对我而言危险的他","对我而言危险的他2023 / 中国大陆 / 初的见 / 李墨之 樊治欣6.4","https://www.douban.com/doubanapp/dispatch?uri=/tv/35679709","爱奇艺视频","VIP免费观看"
