剧名,集数,制作,首播,主演,题材
在希望的田野上,24,2021,9月15日 腾讯视频,曹骏、安悦溪,乡土
今天不是最后一天,8,2019,9月15日 腾讯视频/优酷,梁靖康、薇薇,青春
亲爱的吾兄,35,2020,9月15日 芒果TV,赵英博、代云帆、吴芊盈,古装
住我对面的小哥哥,22,2020,9月16日 腾讯视频,赵弈钦、丁一一,青春
公子倾城,24,2020,9月16日 爱奇艺,卜冠今、王星越,古装
再见，那一天,6,2020,9月21日 腾讯视频/爱奇艺,李光洁、蒋欣、胡军,乡土
国子监来了个女弟子,30,2020,9月22日 腾讯视频/优酷,赵露思、徐开骋,古装
暗房,15,2019,9月22日 爱奇艺,贡米、卢庆辉,悬疑
我的奇妙室友,29,2017,9月23日 优酷,李宏毅、潘霜霜、李浩男,科幻
当爱情遇上科学家,24,2020,9月25日 腾讯视频/爱奇艺,刘以豪、周雨彤,都市
我的巴比伦恋人,24,2018,9月27日 爱奇艺/优酷,凤小岳、卜冠今、许玮甯、周游,科幻
反转时空爱上你,12,,9月27日 爱奇艺,丁炎、杨乐,都市
嘿，你大事很妙,24,2020,9月29日 爱奇艺,屠芷莹、吴宇恒,青春
灵丹妙药不及你,12,2020,9月29日 腾讯视频,丁一一、王浩歌,古装
时光旧巷的我们,12,2019,9月29日 优酷,胡博文、于小彬,青春
皎若云间月,40,2019,10月4日 优酷,张芷溪、佟梦实,古装
只是结婚的关系,24,2020,10月8日 腾讯视频,王玉雯、王子奇,都市
爱上萌面大人,24,2018,10月10日 优酷,符龙飞、韩忠羽,都市
八角亭谜雾,12,2021,10月13日 爱奇艺,段奕宏、郝蕾、祖峰,涉案
真相,32,2020,10月14日 优酷,陈星旭、盖玥希,刑侦
嘉南传,40,2020,10月17日 腾讯视频/爱奇艺,鞠婧祎、曾舜晞、汪卓成,古装
滚动吧，小齿轮,32,2020,10月19日 腾讯视频,刘畅,都市
我的恋人有点迷,12,2021,10月19日 爱奇艺,曹斐然、方晓东,都市
新白蛇传,32,2017,10月25日 腾讯视频,孙骁骁、路宏、张天阳、王嵛,古装
爱在粉雪时光,24,2021,10月26日 爱奇艺,高旻睿、许晓诺、张鑫,青春
麻辣宿舍,17,2017,11月2日 腾讯视频,邵庄、杨羽、邢冬冬,都市
致命愿望,12,2019,11月3日 爱奇艺,冯绍峰、文淇、范丞丞、郭子凡,悬疑
管你来自哪颗星,30,2020,11月5日 腾讯视频,赵婧祎、马浩东,都市
当家主母,35,2020,11月8日 腾讯视频/爱奇艺/优酷,蒋勤勤、张慧雯、杨蓉,古装
沉默的证明,12,2020,11月9日 搜狐视频,盛英豪、康可人、王双,悬疑
北洋残案,12,2017,11月16日 腾讯视频,汪汐潮、邓郁立,悬疑
山野异事,13,2020,11月17日 百视TV,,古装
心跳恋爱,28,2021,11月19日 优酷,苏晓彤、左林杰,都市
无法直视,24,2018,11月19日 爱奇艺,任敏、陈汛,都市
许纯纯的茶花运,24,2020,11月22日 爱奇艺,郭子凡、李墨之,古装
逆青春第三季,14,,11月22日 爱奇艺,孟彦森、张潘靓子,青春
爱很美味,20,2020,11月26日 腾讯视频,李纯、张含韵、王菊,都市
一片冰心在玉壶,24,2020,11月29日 优酷,张慧雯、吴希泽,古装
花与罪,16,2020,11月30日 爱奇艺,邵兵、余俪,悬疑
当我们在一起,12,2020,11月30日 爱奇艺,靳山乐、步亚平,都市
风起洛阳,39,2020,12月1日 爱奇艺，2023年4月3日 北京卫视上星,黄轩、王一博、宋茜,古装
谁是凶手,16,2020,12月5日 爱奇艺,赵丽颖、肖央、董子健,悬疑
谈什么恋爱啊,18,2020,12月6日 腾讯视频,尤靖茹、赵让,都市
布局,27,2017,12月7日 腾讯视频,刘述,涉案
人海之中遇见你,24,2020,12月8日 优酷,邓超元、张稀也,都市
我是岁月你是星辰,24,2020,12月9日 腾讯视频/芒果TV,陈意涵、刘海宽,科幻
如果声音有记忆,32,2021,12月9日 芒果TV,魏哲鸣、潘美烨,都市
卿卿我心,24,2020,12月9日 腾讯视频/爱奇艺,程潇、谷嘉诚,古装
大饼卷一切,12,,12月14日 腾讯视频,陶思源、王菲菲,都市
你是我最甜蜜的心事,24,2020,12月15日 爱奇艺,蔡卓宜、周翊然,都市
清风朗月花正开,24,2021,12月19日 腾讯视频/爱奇艺,许佳琪、黄圣池,古装
你好，先生们,12,,12月20日 爱奇艺,申浩男、杨甜甜,都市
热血神探,30,2018,12月26日 芒果TV,张雨剑、梁洁,民初
燃情大地,43,2016,1月5日 山西影视频道,张鲁一、江铠同、徐正曦、邓伦、孟召重、沈丹萍,革命
江山如此多娇,31,2020,1月10日 湖南卫视金鹰独播剧场,罗晋、袁姗姗、沈梦辰,扶贫
山海情,23,2020,1月12日 浙江/北京/东方/东南/宁夏卫视,黄轩、热依扎,扶贫
刑警之海外行动,38,2019,1月24日 爱奇艺（首播），2月13日 北京卫视（上星）,吴刚、柯蓝、宁理,涉案
十里八乡,12,2020,1月26日 阳泉电视台新闻综合频道,,乡土
