score,review,5star,4star,3star,2star,1star,director,writer,actor,genre,country,language,Premiere,season,Episode,Episode Length,aka,IMDb,name,link-href,channel,permission
7.1,696人评价,11.8%,11.8%,50.0%,4.4%,0.0%,导演: 章红伟,,,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-01-15(中国大陆),季数: 3,集数: 8,单集片长: 25,,,日出之食 第三季,https://www.douban.com/doubanapp/dispatch?uri=/tv/34969103,,
7.3,1115人评价,20.4%,20.4%,27.2%,6.8%,4.9%,导演: 李少红 / 刘家成 / 滕华涛 / 高群书 / 余淳 / 林柯 / 张多福 / 惠楷栋 / 徐宗政 / 刘洋,编剧: 叶书林,富大龙 / 郭涛 / 乔大韦 / 海一天 / 孙茜 / 巴多 / 罗京民 / 苇青 / 张铎 / 王雅捷 / 巩汉林 / 杜源 / 葛四 / 徐成林 / 巩天阔 / 唐北平 / 许超 / 杨智迪 / 胡胜锋 / 李光洁 / 郑云龙 / 甘婷婷 / 雷汉 / 孙敏 / 魏之皓 / 张戈 / 林永健 / 黄小蕾 / 许文广 / 任正斌 / 牛飘 / 高正 / 张东升 / 王品一 / 曹祁元 / 马天宇 / 贾青 / 赵毅 / 范雷 / 左腾云 / 冯文娟 / 尹正 / 于晓光 / 吴佳尼 / 杜志国 / 赵昕 / 李欣泽 / 侯煜 / 张逗逗 / 麻骏 / 王佳佳 / 苏鑫 / 马书良 / 张恒 / 张馨予 / 涂松岩 / 刘天佐 / 韩雪 / 韩童生 / 白客 / 黄璐更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-11-17(中国大陆),,集数: 20,,,IMDb: tt13458672,石头开花,https://www.douban.com/doubanapp/dispatch?uri=/tv/35231978,爱奇艺视频,VIP免费观看
7.3,1115人评价,20.4%,20.4%,27.2%,6.8%,4.9%,导演: 李少红 / 刘家成 / 滕华涛 / 高群书 / 余淳 / 林柯 / 张多福 / 惠楷栋 / 徐宗政 / 刘洋,编剧: 叶书林,富大龙 / 郭涛 / 乔大韦 / 海一天 / 孙茜 / 巴多 / 罗京民 / 苇青 / 张铎 / 王雅捷 / 巩汉林 / 杜源 / 葛四 / 徐成林 / 巩天阔 / 唐北平 / 许超 / 杨智迪 / 胡胜锋 / 李光洁 / 郑云龙 / 甘婷婷 / 雷汉 / 孙敏 / 魏之皓 / 张戈 / 林永健 / 黄小蕾 / 许文广 / 任正斌 / 牛飘 / 高正 / 张东升 / 王品一 / 曹祁元 / 马天宇 / 贾青 / 赵毅 / 范雷 / 左腾云 / 冯文娟 / 尹正 / 于晓光 / 吴佳尼 / 杜志国 / 赵昕 / 李欣泽 / 侯煜 / 张逗逗 / 麻骏 / 王佳佳 / 苏鑫 / 马书良 / 张恒 / 张馨予 / 涂松岩 / 刘天佐 / 韩雪 / 韩童生 / 白客 / 黄璐更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-11-17(中国大陆),,集数: 20,,,IMDb: tt13458672,石头开花,https://www.douban.com/doubanapp/dispatch?uri=/tv/35231978,优酷视频,VIP免费观看
7.3,1115人评价,20.4%,20.4%,27.2%,6.8%,4.9%,导演: 李少红 / 刘家成 / 滕华涛 / 高群书 / 余淳 / 林柯 / 张多福 / 惠楷栋 / 徐宗政 / 刘洋,编剧: 叶书林,富大龙 / 郭涛 / 乔大韦 / 海一天 / 孙茜 / 巴多 / 罗京民 / 苇青 / 张铎 / 王雅捷 / 巩汉林 / 杜源 / 葛四 / 徐成林 / 巩天阔 / 唐北平 / 许超 / 杨智迪 / 胡胜锋 / 李光洁 / 郑云龙 / 甘婷婷 / 雷汉 / 孙敏 / 魏之皓 / 张戈 / 林永健 / 黄小蕾 / 许文广 / 任正斌 / 牛飘 / 高正 / 张东升 / 王品一 / 曹祁元 / 马天宇 / 贾青 / 赵毅 / 范雷 / 左腾云 / 冯文娟 / 尹正 / 于晓光 / 吴佳尼 / 杜志国 / 赵昕 / 李欣泽 / 侯煜 / 张逗逗 / 麻骏 / 王佳佳 / 苏鑫 / 马书良 / 张恒 / 张馨予 / 涂松岩 / 刘天佐 / 韩雪 / 韩童生 / 白客 / 黄璐更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-11-17(中国大陆),,集数: 20,,,IMDb: tt13458672,石头开花,https://www.douban.com/doubanapp/dispatch?uri=/tv/35231978,腾讯视频,VIP免费观看
7.3,1828人评价,14.1%,14.1%,25.8%,10.2%,1.6%,,,曹旭鹏 / 林帽帽 / 小连杀 / 宝木中阳 / 李轻扬 / 闫夜桥 / 图特哈蒙 / 藤新更多...,类型: 动画 / 奇幻,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-11-12(中国大陆),,集数: 32,单集片长: 18分钟,,,我是大神仙,https://www.douban.com/doubanapp/dispatch?uri=/tv/35170372,腾讯视频,VIP免费观看
7.4,1190人评价,26.1%,26.1%,22.3%,8.5%,4.8%,导演: 孟佳,,昂米诺 / 白曼可 / 王昱尧 / 杜程一诺 / 董政尧 / 李帝利 / 王乐頔 / 苏伊可更多...,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-03-12(中国大陆),,集数: 8,单集片长: 47分钟,,,小孩的神秘生活,https://www.douban.com/doubanapp/dispatch?uri=/tv/34987958,,
7.4,2465人评价,13.8%,13.8%,33.9%,5.5%,0.0%,导演: 周沬,编剧: 周沬,宝木中阳,类型: 剧情 / 喜剧 / 动画,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-10-24(中国大陆),,集数: 20,单集片长: 7分钟,,,剑网3·侠肝义胆沈剑心之长漂,https://www.douban.com/doubanapp/dispatch?uri=/tv/35196790,哔哩哔哩,VIP免费观看
7.7,735人评价,20.0%,20.0%,26.7%,5.3%,0.0%,导演: 安枫,编剧: 田辰明 / 孙岳懿 / 胡桢 / 猫腻(原著),沈达威 / 杨梦露 / 刘北辰 / 曹真 / 夏磊 / 柯慕卿 / 卞云鹏 / 鬼月 / 黑石稔 / 苏鑫 / 杜晴晴更多...,类型: 动画,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-03-16(中国大陆),季数: 5,集数: 12,单集片长: 20分钟,,,择天记 第五季,https://www.douban.com/doubanapp/dispatch?uri=/tv/34950931,,
7.6,1237人评价,23.3%,23.3%,26.4%,3.1%,3.1%,导演: 吕小品,编剧: 张谦 / 郭宏,张国强 / 马丁 / 李博 / 李琦,类型: 喜剧,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-08-12(中国大陆),,集数: 38,单集片长: 45分钟,又名: 小镇警事·明天我休息,IMDb: tt12861894,小镇警事,https://www.douban.com/doubanapp/dispatch?uri=/tv/30222894,咪咕视频,免费观看
7.6,1237人评价,23.3%,23.3%,26.4%,3.1%,3.1%,导演: 吕小品,编剧: 张谦 / 郭宏,张国强 / 马丁 / 李博 / 李琦,类型: 喜剧,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-08-12(中国大陆),,集数: 38,单集片长: 45分钟,又名: 小镇警事·明天我休息,IMDb: tt12861894,小镇警事,https://www.douban.com/doubanapp/dispatch?uri=/tv/30222894,腾讯视频,免费观看
